gender,avoid
Male,Neutral
Female,Strongly disagree
Male,Disagree
Female,Strongly disagree
Male,Agree
Male,Disagree
Female,Strongly disagree
Male,Disagree
Female,Disagree
Male,Disagree
Female,Strongly disagree
Male,Agree
Male,Agree
Male,Strongly agree
Male,Strongly disagree
Male,Strongly agree
Female,Disagree
Female,Disagree
Male,Agree
Male,Disagree
Male,Disagree
Male,Agree
Female,Agree
Male,Neutral
Male,Strongly agree
Male,Neutral
Male,Agree
Female,Neutral
Male,Agree
Male,Agree
Male,Neutral
Male,Agree
Male,Disagree
Male,Agree
Male,Agree
Male,Strongly agree
Male,Agree
Male,Agree
Male,Strongly agree
Female,Disagree
Male,Agree
Male,Neutral
Male,Agree
Male,Agree
Male,Agree
Male,Neutral
Female,Disagree
Male,Neutral
Male,Neutral
Male,Neutral
Male,Neutral
Male,Disagree
Male,Strongly disagree
Male,Agree
Male,Neutral
Male,Agree
Male,Neutral
Female,Agree
Female,Neutral
Male,Strongly disagree
Male,Neutral
Male,Agree
Male,Agree
Male,Agree
Male,Neutral
Male,Disagree
Male,Neutral
Male,Agree
Male,Neutral
Male,Agree
Male,Agree
Female,Disagree
Male,Neutral
Male,Agree
Male,Neutral
Male,Agree
Female,Neutral
Male,Disagree
Male,Disagree
Male,Neutral
Male,Agree
Male,Agree
Female,Strongly agree
Male,Neutral
Male,Agree
Male,Agree
Male,Strongly agree
Male,Agree
Male,Agree
Female,Disagree
Male,Neutral
Male,Agree
Male,Strongly agree
Male,Neutral
Male,Agree
Male,Agree
Male,Agree
Male,Strongly agree
Male,Agree
Female,Neutral
