year,time
3rd year,1-10 h
2nd year,1-10 h
4th year,10-20 h
1st year,20-30 h
3rd year,10-20 h
2nd year,1-10 h
2nd year,1-10 h
3rd year,1-10 h
4th year,10-20 h
4th year,1-10 h
2nd year,10-20 h
1st year,10-20 h
1st year,20-30 h
3rd year,1-10 h
4th year,1-10 h
1st year,20-30 h
3rd year,1-10 h
2nd year,10-20 h
4th year,1-10 h
4th year,1-10 h
3rd year,1-10 h
1st year,20-30 h
1st year,20-30 h
2nd year,10-20 h
4th year,1-10 h
2nd year,10-20 h
1st year,More than 30
1st year,20-30 h
2nd year,10-20 h
4th year,1-10 h
3rd year,1-10 h
1st year,20-30 h
1st year,20-30 h
4th year,1-10 h
1st year,10-20 h
3rd year,10-20 h
4th year,1-10 h
1st year,More than 30
3rd year,1-10 h
3rd year,10-20 h
4th year,1-10 h
2nd year,10-20 h
4th year,1-10 h
3rd year,1-10 h
3rd year,1-10 h
1st year,20-30 h
2nd year,10-20 h
2nd year,1-10 h
4th year,1-10 h
2nd year,1-10 h
1st year,More than 30
2nd year,10-20 h
1st year,More than 30
4th year,1-10 h
3rd year,10-20 h
4th year,1-10 h
4th year,10-20 h
2nd year,10-20 h
3rd year,10-20 h
4th year,1-10 h
4th year,1-10 h
4th year,10-20 h
3rd year,1-10 h
4th year,1-10 h
4th year,1-10 h
3rd year,10-20 h
1st year,20-30 h
4th year,1-10 h
3rd year,10-20 h
2nd year,10-20 h
4th year,1-10 h
4th year,1-10 h
4th year,1-10 h
3rd year,10-20 h
4th year,1-10 h
2nd year,1-10 h
3rd year,1-10 h
1st year,20-30 h
4th year,1-10 h
3rd year,10-20 h
4th year,1-10 h
3rd year,20-30 h
4th year,1-10 h
3rd year,1-10 h
2nd year,10-20 h
2nd year,20-30 h
2nd year,10-20 h
3rd year,1-10 h
3rd year,10-20 h
3rd year,10-20 h
2nd year,10-20 h
2nd year,10-20 h
4th year,1-10 h
3rd year,10-20 h
3rd year,1-10 h
4th year,1-10 h
4th year,1-10 h
3rd year,10-20 h
1st year,More than 30
2nd year,20-30 h
